      id      |    ?column?    |       replace        
 245697050100 | no_left_turn   | 34.241179,108.953901
 245697050100 | no_left_turn   | 34.241253,108.953922
 245697050100 | no_left_turn   | 34.242780,108.953936
 245697053100 | no_left_turn   | 34.241114,108.953870
 245697053100 | no_left_turn   | 34.241182,108.953850
 245697053100 | no_left_turn   | 34.241253,108.953922
 245697053100 | no_left_turn   | 34.241255,108.953839
 245697053100 | no_left_turn   | 34.241346,108.953841
 245789760100 | no_left_turn   | 34.223196,108.971575
 245789760100 | no_left_turn   | 34.223290,108.971576
 245789760100 | no_left_turn   | 34.223339,108.971580
 245789760100 | no_left_turn   | 34.224026,108.971573
 245810091100 | no_left_turn   | 34.277184,108.972894
 245810091100 | no_left_turn   | 34.277508,108.972924
 245811834100 | no_left_turn   | 34.277977,108.978298
 245811834100 | no_left_turn   | 34.278116,108.978308
 245811834100 | no_left_turn   | 34.278168,108.978256
 245924003100 | no_left_turn   | 34.300854,109.015393
 245924003100 | no_left_turn   | 34.301611,109.015512
 245924003100 | no_left_turn   | 34.301612,109.015330
 245994125100 | no_left_turn   | 34.288514,109.024752
 245994125100 | no_left_turn   | 34.288709,109.024660
 245994125100 | no_left_turn   | 34.288765,109.024597
 245994125100 | no_left_turn   | 34.289019,109.025577
 246019914100 | no_left_turn   | 34.311105,109.080364
 246019914100 | no_left_turn   | 34.311291,109.080036
 246019914100 | no_left_turn   | 34.311367,109.079936
 246019914100 | no_left_turn   | 34.311738,109.080461
 246081980100 | no_left_turn   | 34.191330,108.874164
 246081980100 | no_left_turn   | 34.191399,108.874165
 246088146100 | no_left_turn   | 34.277299,108.818203
 246088146100 | no_left_turn   | 34.277301,108.815924
 246185598100 | no_left_turn   | 34.247533,109.004309
 246185598100 | no_left_turn   | 34.247724,109.004534
 246198289100 | no_left_turn   | 34.240936,108.953723
 246198289100 | no_left_turn   | 34.241182,108.953850
 246198289100 | no_left_turn   | 34.241253,108.953922
 246198289100 | no_left_turn   | 34.241255,108.953839
 246240881100 | no_left_turn   | 34.288755,108.917662
 246240881100 | no_left_turn   | 34.288755,108.917717
 246240881100 | no_left_turn   | 34.288755,108.917769
 246254800100 | no_left_turn   | 34.244946,108.914478
 246254800100 | no_left_turn   | 34.244952,108.914961
 246308067100 | no_left_turn   | 34.258970,108.889868
 246308067100 | no_left_turn   | 34.259403,108.888948
 246308067100 | no_left_turn   | 34.259815,108.889718
 246344881100 | no_left_turn   | 34.286236,108.902835
 246344881100 | no_left_turn   | 34.286388,108.902390
 246344881100 | no_left_turn   | 34.286393,108.902573
 246344881100 | no_left_turn   | 34.286634,108.902267
 246395105100 | no_left_turn   | 34.241114,108.953870
 246395105100 | no_left_turn   | 34.241179,108.953901
 246395105100 | no_left_turn   | 34.241182,108.953850
 246395105100 | no_left_turn   | 34.241253,108.953922
 246395105100 | no_left_turn   | 34.241497,108.954018
 246398582100 | no_left_turn   | 34.301510,109.015533
 246398582100 | no_left_turn   | 34.301513,109.015336
 246398582100 | no_left_turn   | 34.301612,109.015330
 246398582100 | no_left_turn   | 34.302223,109.015308
 246522395100 | no_left_turn   | 34.301382,108.848719
 246522395100 | no_left_turn   | 34.305666,108.847922
 246612533100 | no_left_turn   | 34.152278,108.893555
 246612533100 | no_left_turn   | 34.152592,108.893571
 246620024100 | no_left_turn   | 34.211758,108.930015
 246620024100 | no_left_turn   | 34.211829,108.930015
 246620024100 | no_left_turn   | 34.211917,108.930016
 246645886100 | no_left_turn   | 34.286388,108.902390
 246645886100 | no_left_turn   | 34.286450,108.902571
 246645886100 | no_left_turn   | 34.286579,108.902965
 246655357100 | no_left_turn   | 34.252226,108.890411
 246655357100 | no_left_turn   | 34.252237,108.889843
 246655357100 | no_left_turn   | 34.252249,108.889527
 246655357100 | no_left_turn   | 34.252252,108.889453
 246655357100 | no_left_turn   | 34.252297,108.889450
 246655357100 | no_left_turn   | 34.252342,108.889447
 246747507100 | no_left_turn   | 34.222052,108.889864
 246747507100 | no_left_turn   | 34.222669,108.889690
 246861716100 | no_left_turn   | 34.287015,108.973123
 246861716100 | no_left_turn   | 34.287252,108.973735
 246897757100 | no_left_turn   | 34.286386,108.902793
 246897757100 | no_left_turn   | 34.286388,108.902390
 246897757100 | no_left_turn   | 34.286393,108.902573
 246897757100 | no_left_turn   | 34.286634,108.902267
 246953761100 | no_left_turn   | 34.210045,108.931127
 246953761100 | no_left_turn   | 34.210749,108.931281
 246971610100 | no_left_turn   | 34.251047,109.006341
 246971610100 | no_left_turn   | 34.251126,109.006351
 246971610100 | no_left_turn   | 34.251161,109.006349
 246971610100 | no_left_turn   | 34.251167,109.006574
 246971610100 | no_left_turn   | 34.251252,109.006580
 246971610100 | no_left_turn   | 34.251257,109.007351
 247053909100 | no_left_turn   | 34.303999,108.961292
 247053909100 | no_left_turn   | 34.305390,108.960511
 247059759100 | no_left_turn   | 34.187349,108.928498
 247059759100 | no_left_turn   | 34.187367,108.928335
 247059759100 | no_left_turn   | 34.187470,108.928500
 247059759100 | no_left_turn   | 34.190059,108.928515
 247149868100 | no_left_turn   | 34.210749,108.931281
 247149868100 | no_left_turn   | 34.211117,108.931112
 247151364100 | no_left_turn   | 34.244571,108.985401
 247151364100 | no_left_turn   | 34.245517,108.985418
 247173914100 | no_left_turn   | 34.301447,108.947386
 247173914100 | no_left_turn   | 34.302258,108.947389
 247179596100 | no_left_turn   | 34.191166,108.863885
 247179596100 | no_left_turn   | 34.191227,108.863092
 247179596100 | no_left_turn   | 34.191245,108.863880
 247203549100 | no_left_turn   | 34.252529,108.840338
 247203549100 | no_left_turn   | 34.252617,108.840476
 247273355100 | no_left_turn   | 34.311105,109.080364
 247273355100 | no_left_turn   | 34.311291,109.080036
 247273355100 | no_left_turn   | 34.311367,109.079936
 247273355100 | no_left_turn   | 34.311425,109.080008
 247273355100 | no_left_turn   | 34.311738,109.080461
 247303054100 | no_left_turn   | 34.337299,108.920097
 247303054100 | no_left_turn   | 34.337301,108.919780
 247303054100 | no_left_turn   | 34.337301,108.919915
 247303054100 | no_left_turn   | 34.337303,108.921003
 247303054100 | no_left_turn   | 34.337392,108.919777
 247347071100 | no_left_turn   | 34.232626,108.889565
 247347071100 | no_left_turn   | 34.232630,108.888063
 247347071100 | no_left_turn   | 34.233289,108.888058
 247432200100 | no_left_turn   | 34.217285,108.919282
 247432200100 | no_left_turn   | 34.217303,108.919360
 247446502100 | no_left_turn   | 34.194648,108.888442
