select road_id, toll_flag, name_chn,alias_chn,ad_code,route_no,link_type from roadsegment where alias_chn like '%乌奎高速%';
--------------+-----------+--------------------+------------------------------------+---------+------------------+-----------
 629419031305 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629420079881 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629424274185 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629425322761 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629426371337 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629430565641 |         2 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629432662793 |         2 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629433711369 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629613017865 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629614066441 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629615115017 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629616163593 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629617212169 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629618260745 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629621406473 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629662300937 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629663349513 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    111950603 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    112999179 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    114047755 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    115096331 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    116144907 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    117193483 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    118242059 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    119290635 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
    120339211 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629203024651 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629370796811 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629373942539 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629376039691 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629377088267 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629795470160 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629796518736 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629797567312 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629798615888 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629162130322 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629172616082 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629308930964 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629311028116 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629325708180 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629326756756 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629327805332 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
 629328853908 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652324  | Ｇ３０｜Ｇ３１２ |         0
     66862104 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652301  | Ｇ３０｜Ｇ３１２ |         0
 629294251032 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
 629296348184 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652301  | Ｇ３０｜Ｇ３１２ |         0
 629298445336 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
      7093143 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
    526138263 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
    527186839 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
